cenario,janela_requisicoes,objetos_distintos_media,fracao_da_janela
baixa,10,5.2,0.5233
baixa,30,11.1,0.3704
baixa,100,25.9,0.2586
baixa,300,57.1,0.1904
baixa,1000,138.1,0.1381
baixa,3000,315.5,0.1052
baixa,10000,812.8,0.0813
media,10,8.3,0.8313
media,30,21.9,0.7291
media,100,62.0,0.6198
media,300,159.7,0.5322
media,1000,430.9,0.4309
media,3000,1029.2,0.3431
media,10000,2522.4,0.2522
alta,10,9.9,0.9873
alta,30,29.1,0.9704
alta,100,94.7,0.9473
alta,300,270.0,0.9001
alta,1000,818.3,0.8183
alta,3000,2093.7,0.6979
alta,10000,5060.8,0.5061
