cenario,cache_objetos,hit_teorico,hit_medido,erro,fracao_reusos_que_cabem,fracao_reusos_que_nao_cabem
baixa,10,0.73121,0.73644,0.00523,0.77393,0.22607
baixa,100,0.88422,0.88622,0.00200,0.93133,0.06867
baixa,1000,0.93416,0.93660,0.00244,0.98428,0.01572
baixa,10000,0.95000,0.95156,0.00156,1.00000,0.00000
media,10,0.28429,0.28586,0.00157,0.30041,0.69959
media,100,0.50349,0.50920,0.00571,0.53512,0.46488
media,1000,0.72655,0.73144,0.00489,0.76867,0.23133
media,10000,0.95000,0.95156,0.00156,1.00000,0.00000
alta,10,0.02402,0.02470,0.00068,0.02596,0.97404
alta,100,0.08895,0.09006,0.00111,0.09464,0.90536
alta,1000,0.29571,0.29776,0.00205,0.31292,0.68708
alta,10000,0.95000,0.95156,0.00156,1.00000,0.00000
