cenario,cache_objetos,hit_teorico,hit_medido,erro
baixa,1,0.36646,0.36948,0.00302
baixa,2,0.49602,0.5013,0.00528
baixa,3,0.56655,0.57174,0.00519
baixa,4,0.61235,0.618,0.00565
baixa,6,0.67007,0.67624,0.00617
baixa,7,0.68985,0.6966,0.00675
baixa,9,0.71962,0.72528,0.00566
baixa,11,0.74125,0.7466,0.00535
baixa,13,0.75789,0.76284,0.00495
baixa,16,0.77692,0.78118,0.00426
baixa,20,0.79547,0.79936,0.00389
baixa,25,0.8122,0.81546,0.00326
baixa,31,0.82675,0.82896,0.00221
baixa,38,0.83921,0.84146,0.00225
baixa,47,0.85099,0.85366,0.00267
baixa,59,0.86231,0.86468,0.00237
baixa,73,0.87184,0.87374,0.0019
baixa,90,0.88029,0.88248,0.00219
baixa,111,0.88792,0.88986,0.00194
baixa,138,0.89505,0.89748,0.00243
baixa,171,0.90136,0.90394,0.00258
baixa,212,0.90705,0.90968,0.00263
baixa,262,0.91209,0.91492,0.00283
baixa,325,0.91671,0.9197,0.00299
baixa,402,0.9208,0.92374,0.00294
baixa,499,0.92454,0.92776,0.00322
baixa,618,0.92786,0.93066,0.0028
baixa,765,0.93084,0.93334,0.0025
baixa,948,0.93353,0.93592,0.00239
baixa,1174,0.93594,0.93832,0.00238
baixa,1455,0.93812,0.94036,0.00224
baixa,1802,0.94007,0.94228,0.00221
baixa,2233,0.94182,0.94406,0.00224
baixa,2766,0.94339,0.94526,0.00187
baixa,3427,0.94481,0.94668,0.00187
baixa,4245,0.94608,0.94812,0.00204
baixa,5259,0.94722,0.94918,0.00196
baixa,6516,0.94825,0.94998,0.00173
baixa,8072,0.94917,0.95076,0.00159
baixa,10000,0.95,0.95156,0.00156
media,1,0.09706,0.09802,0.00096
media,2,0.14559,0.14786,0.00227
media,3,0.17795,0.1797,0.00175
media,4,0.20221,0.2036,0.00139
media,6,0.2378,0.23944,0.00164
media,7,0.25167,0.25362,0.00195
media,9,0.27458,0.27596,0.00138
media,11,0.29311,0.29498,0.00187
media,13,0.30867,0.31144,0.00277
media,16,0.32814,0.33072,0.00258
media,20,0.3492,0.3529,0.0037
media,25,0.37038,0.37344,0.00306
media,31,0.39089,0.39516,0.00427
media,38,0.41037,0.41358,0.00321
media,47,0.43076,0.43464,0.00388
media,59,0.45262,0.45654,0.00392
media,73,0.47313,0.47656,0.00343
media,90,0.49332,0.4985,0.00518
media,111,0.51358,0.51898,0.0054
media,138,0.53462,0.53992,0.0053
media,171,0.55537,0.56034,0.00497
media,212,0.57617,0.58134,0.00517
media,262,0.59668,0.60212,0.00544
media,325,0.61756,0.6226,0.00504
media,402,0.63817,0.64326,0.00509
media,499,0.65913,0.66532,0.00619
media,618,0.67987,0.6861,0.00623
media,765,0.70057,0.70738,0.00681
media,948,0.72137,0.7265,0.00513
media,1174,0.74211,0.74732,0.00521
media,1455,0.76293,0.76788,0.00495
media,1802,0.78369,0.788,0.00431
media,2233,0.8045,0.80798,0.00348
media,2766,0.82527,0.8277,0.00243
media,3427,0.84607,0.84872,0.00265
media,4245,0.86684,0.8693,0.00246
media,5259,0.88763,0.88942,0.00179
media,6516,0.90843,0.91076,0.00233
media,8072,0.92921,0.93186,0.00265
media,10000,0.95,0.95156,0.00156
alta,1,0.00478,0.00512,0.00034
alta,2,0.00817,0.00848,0.00031
alta,3,0.01093,0.01116,0.00023
alta,4,0.01332,0.01396,0.00064
alta,6,0.01742,0.01792,0.0005
alta,7,0.01922,0.0195,0.00028
alta,9,0.02251,0.02288,0.00037
alta,11,0.02547,0.02624,0.00077
alta,13,0.02818,0.02862,0.00044
alta,16,0.03189,0.03258,0.00069
alta,20,0.03634,0.0374,0.00106
alta,25,0.04134,0.04204,0.0007
alta,31,0.04672,0.04712,0.0004
alta,38,0.05239,0.05252,0.00013
alta,47,0.05897,0.05926,0.00029
alta,59,0.06683,0.06746,0.00063
alta,73,0.07506,0.07588,0.00082
alta,90,0.08405,0.08488,0.00083
alta,111,0.09406,0.09508,0.00102
alta,138,0.10563,0.10686,0.00123
alta,171,0.11833,0.11976,0.00143
alta,212,0.13251,0.13422,0.00171
alta,262,0.14806,0.15048,0.00242
alta,325,0.16566,0.16848,0.00282
alta,402,0.185,0.18636,0.00136
alta,499,0.20689,0.2079,0.00101
alta,618,0.23101,0.23288,0.00187
alta,765,0.25778,0.25972,0.00194
alta,948,0.28774,0.28968,0.00194
alta,1174,0.32097,0.32362,0.00265
alta,1455,0.3581,0.36132,0.00322
alta,1802,0.3993,0.4036,0.0043
alta,2233,0.44527,0.44902,0.00375
alta,2766,0.49635,0.5016,0.00525
alta,3427,0.55327,0.55792,0.00465
alta,4245,0.61655,0.62172,0.00517
alta,5259,0.68703,0.69338,0.00635
alta,6516,0.76552,0.77012,0.0046
alta,8072,0.85282,0.85542,0.0026
alta,10000,0.95,0.95156,0.00156
