cenario,d,P(d<x)_teorico,P(d<x)_medido
baixa,1,0.38575,0.38829
baixa,2,0.52213,0.52682
baixa,3,0.59637,0.60084
baixa,4,0.64458,0.64946
baixa,6,0.70533,0.71066
baixa,7,0.72616,0.73206
baixa,9,0.75750,0.76220
baixa,11,0.78027,0.78461
baixa,13,0.79778,0.80167
baixa,16,0.81781,0.82095
baixa,20,0.83733,0.84005
baixa,25,0.85494,0.85697
baixa,31,0.87026,0.87116
baixa,38,0.88338,0.88430
baixa,47,0.89578,0.89712
baixa,59,0.90770,0.90870
baixa,73,0.91773,0.91822
baixa,90,0.92662,0.92740
baixa,111,0.93465,0.93516
baixa,138,0.94216,0.94317
baixa,171,0.94880,0.94996
baixa,212,0.95479,0.95599
baixa,262,0.96010,0.96149
baixa,325,0.96495,0.96652
baixa,402,0.96926,0.97076
baixa,499,0.97320,0.97499
baixa,618,0.97669,0.97804
baixa,765,0.97983,0.98085
baixa,948,0.98266,0.98356
baixa,1174,0.98520,0.98609
baixa,1455,0.98749,0.98823
baixa,1802,0.98954,0.99025
baixa,2233,0.99139,0.99212
baixa,2766,0.99305,0.99338
baixa,3427,0.99454,0.99487
baixa,4245,0.99587,0.99638
baixa,5259,0.99708,0.99750
baixa,6516,0.99816,0.99834
baixa,8072,0.99913,0.99916
baixa,10000,1.00000,1.00000
media,1,0.10217,0.10301
media,2,0.15326,0.15539
media,3,0.18731,0.18885
media,4,0.21285,0.21396
media,6,0.25032,0.25163
media,7,0.26491,0.26653
media,9,0.28904,0.29001
media,11,0.30854,0.31000
media,13,0.32491,0.32729
media,16,0.34541,0.34756
media,20,0.36758,0.37086
media,25,0.38988,0.39245
media,31,0.41146,0.41528
media,38,0.43196,0.43463
media,47,0.45343,0.45677
media,59,0.47644,0.47978
media,73,0.49803,0.50082
media,90,0.51929,0.52388
media,111,0.54061,0.54540
media,138,0.56276,0.56741
media,171,0.58460,0.58886
media,212,0.60650,0.61093
media,262,0.62809,0.63277
media,325,0.65006,0.65429
media,402,0.67176,0.67601
media,499,0.69382,0.69919
media,618,0.71565,0.72103
media,765,0.73744,0.74339
media,948,0.75934,0.76348
media,1174,0.78117,0.78536
media,1455,0.80309,0.80697
media,1802,0.82494,0.82811
media,2233,0.84684,0.84911
media,2766,0.86871,0.86983
media,3427,0.89060,0.89192
media,4245,0.91246,0.91355
media,5259,0.93435,0.93470
media,6516,0.95624,0.95712
media,8072,0.97812,0.97930
media,10000,1.00000,1.00000
alta,1,0.00504,0.00538
alta,2,0.00860,0.00891
alta,3,0.01151,0.01173
alta,4,0.01402,0.01467
alta,6,0.01833,0.01883
alta,7,0.02024,0.02049
alta,9,0.02370,0.02404
alta,11,0.02681,0.02758
alta,13,0.02966,0.03008
alta,16,0.03356,0.03424
alta,20,0.03825,0.03930
alta,25,0.04351,0.04418
alta,31,0.04918,0.04952
alta,38,0.05515,0.05519
alta,47,0.06207,0.06228
alta,59,0.07035,0.07089
alta,73,0.07901,0.07974
alta,90,0.08847,0.08920
alta,111,0.09901,0.09992
alta,138,0.11119,0.11230
alta,171,0.12456,0.12586
alta,212,0.13949,0.14105
alta,262,0.15585,0.15814
alta,325,0.17438,0.17706
alta,402,0.19474,0.19585
alta,499,0.21778,0.21848
alta,618,0.24316,0.24473
alta,765,0.27135,0.27294
alta,948,0.30288,0.30443
alta,1174,0.33787,0.34009
alta,1455,0.37695,0.37971
alta,1802,0.42032,0.42415
alta,2233,0.46871,0.47188
alta,2766,0.52248,0.52713
alta,3427,0.58238,0.58632
alta,4245,0.64900,0.65337
alta,5259,0.72318,0.72868
alta,6516,0.80581,0.80932
alta,8072,0.89770,0.89897
alta,10000,1.00000,1.00000
