cenario,faixa_de,faixa_ate,reusos,fracao
baixa,0,0,18474,0.38829
baixa,1,1,6591,0.13853
baixa,2,3,5835,0.12264
baixa,4,7,4732,0.09946
baixa,8,15,3427,0.07203
baixa,16,31,2491,0.05236
baixa,32,63,1881,0.03954
baixa,64,127,1310,0.02753
baixa,128,255,981,0.02062
baixa,256,511,682,0.01433
baixa,512,1023,443,0.00931
baixa,1024,2047,321,0.00675
baixa,2048,4095,222,0.00467
baixa,4096,8191,153,0.00322
baixa,8192,9999,35,0.00074
media,0,0,4901,0.10301
media,1,1,2492,0.05238
media,2,3,2787,0.05858
media,4,7,3098,0.06511
media,8,15,3258,0.06848
media,16,31,3377,0.07098
media,32,63,3296,0.06928
media,64,127,3445,0.07241
media,128,255,3353,0.07047
media,256,511,3384,0.07113
media,512,1023,3309,0.06955
media,1024,2047,3299,0.06934
media,2048,4095,3293,0.06921
media,4096,8191,3364,0.07070
media,8192,9999,922,0.01938
alta,0,0,256,0.00538
alta,1,1,168,0.00353
alta,2,3,274,0.00576
alta,4,7,361,0.00759
alta,8,15,570,0.01198
alta,16,31,778,0.01635
alta,32,63,1105,0.02323
alta,64,127,1616,0.03397
alta,128,255,2312,0.04859
alta,256,511,3096,0.06507
alta,512,1023,4547,0.09557
alta,1024,2047,6422,0.13498
alta,2048,4095,9048,0.19017
alta,4096,8191,12532,0.26340
alta,8192,9999,4493,0.09443
