cenario,cache_objetos,hit_teorico,hit_medido,erro,fracao_reusos_que_cabem,fracao_reusos_que_nao_cabem
baixa,10,0.73121,0.73142,0.00021,0.76930,0.23070
baixa,100,0.88422,0.88406,-0.00016,0.92985,0.07015
baixa,1000,0.93416,0.93470,0.00054,0.98311,0.01689
baixa,10000,0.95000,0.95075,0.00075,1.00000,0.00000
media,10,0.28429,0.28518,0.00089,0.29996,0.70004
media,100,0.50349,0.50372,0.00023,0.52981,0.47019
media,1000,0.72655,0.72674,0.00019,0.76438,0.23562
media,10000,0.95000,0.95075,0.00075,1.00000,0.00000
alta,10,0.02402,0.02392,-0.00010,0.02516,0.97484
alta,100,0.08895,0.08914,0.00019,0.09376,0.90624
alta,1000,0.29571,0.29660,0.00089,0.31196,0.68804
alta,10000,0.95000,0.95075,0.00075,1.00000,0.00000
