cenario,janela_requisicoes,objetos_distintos_media,fracao_da_janela
baixa,10,5.4,0.5447
baixa,30,10.8,0.3611
baixa,100,26.2,0.2615
baixa,300,57.2,0.1906
baixa,1000,139.9,0.1399
baixa,3000,322.3,0.1074
baixa,10000,832.9,0.0833
baixa,30000,2072.0,0.0691
baixa,100000,5853.9,0.0585
media,10,8.5,0.8513
media,30,21.9,0.7291
media,100,63.2,0.6320
media,300,160.4,0.5347
media,1000,435.5,0.4355
media,3000,1041.8,0.3473
media,10000,2561.1,0.2561
media,30000,5342.7,0.1781
media,100000,10311.9,0.1031
alta,10,9.9,0.9880
alta,30,29.2,0.9722
alta,100,94.4,0.9441
alta,300,270.0,0.8999
alta,1000,818.4,0.8184
alta,3000,2100.7,0.7002
alta,10000,5086.5,0.5087
alta,30000,8878.9,0.2960
alta,100000,12701.5,0.1270
