cenario,cache_objetos,hit_teorico,hit_medido,erro
baixa,1,0.36646,0.36695,0.00049
baixa,2,0.49602,0.49624,0.00021
baixa,3,0.56655,0.56685,0.00030
baixa,4,0.61235,0.61224,-0.00012
baixa,6,0.67007,0.67028,0.00022
baixa,7,0.68985,0.68993,0.00008
baixa,9,0.71962,0.71959,-0.00003
baixa,11,0.74125,0.74134,0.00008
baixa,13,0.75789,0.75776,-0.00013
baixa,16,0.77692,0.77680,-0.00012
baixa,20,0.79547,0.79541,-0.00005
baixa,25,0.81220,0.81212,-0.00008
baixa,31,0.82675,0.82650,-0.00024
baixa,38,0.83921,0.83917,-0.00004
baixa,47,0.85099,0.85104,0.00005
baixa,59,0.86231,0.86234,0.00003
baixa,73,0.87184,0.87161,-0.00023
baixa,90,0.88029,0.88007,-0.00022
baixa,111,0.88792,0.88770,-0.00022
baixa,138,0.89505,0.89539,0.00033
baixa,171,0.90136,0.90177,0.00041
baixa,212,0.90705,0.90745,0.00040
baixa,262,0.91209,0.91255,0.00046
baixa,325,0.91671,0.91720,0.00050
baixa,402,0.92080,0.92121,0.00042
baixa,499,0.92454,0.92517,0.00063
baixa,618,0.92786,0.92841,0.00055
baixa,765,0.93084,0.93132,0.00048
baixa,948,0.93353,0.93406,0.00053
baixa,1174,0.93594,0.93642,0.00048
baixa,1455,0.93812,0.93862,0.00050
baixa,1802,0.94007,0.94054,0.00048
baixa,2233,0.94182,0.94237,0.00055
baixa,2766,0.94339,0.94394,0.00055
baixa,3427,0.94481,0.94549,0.00068
baixa,4245,0.94608,0.94679,0.00071
baixa,5259,0.94722,0.94795,0.00073
baixa,6516,0.94825,0.94902,0.00077
baixa,8072,0.94917,0.94993,0.00076
baixa,10000,0.95000,0.95075,0.00075
media,1,0.09706,0.09730,0.00024
media,2,0.14559,0.14624,0.00065
media,3,0.17795,0.17855,0.00060
media,4,0.20221,0.20257,0.00036
media,6,0.23780,0.23865,0.00085
media,7,0.25167,0.25247,0.00080
media,9,0.27458,0.27563,0.00104
media,11,0.29311,0.29396,0.00085
media,13,0.30867,0.30950,0.00083
media,16,0.32814,0.32896,0.00083
media,20,0.34920,0.34993,0.00073
media,25,0.37038,0.37082,0.00043
media,31,0.39089,0.39132,0.00043
media,38,0.41037,0.41061,0.00024
media,47,0.43076,0.43110,0.00035
media,59,0.45262,0.45298,0.00036
media,73,0.47313,0.47357,0.00044
media,90,0.49332,0.49362,0.00030
media,111,0.51358,0.51372,0.00015
media,138,0.53462,0.53480,0.00018
media,171,0.55537,0.55563,0.00027
media,212,0.57617,0.57633,0.00015
media,262,0.59668,0.59654,-0.00014
media,325,0.61756,0.61740,-0.00016
media,402,0.63817,0.63818,0.00001
media,499,0.65913,0.65931,0.00018
media,618,0.67987,0.67996,0.00009
media,765,0.70057,0.70050,-0.00007
media,948,0.72137,0.72135,-0.00002
media,1174,0.74211,0.74215,0.00004
media,1455,0.76293,0.76290,-0.00004
media,1802,0.78369,0.78356,-0.00012
media,2233,0.80450,0.80444,-0.00006
media,2766,0.82527,0.82509,-0.00018
media,3427,0.84607,0.84606,-0.00001
media,4245,0.86684,0.86683,-0.00001
media,5259,0.88763,0.88737,-0.00026
media,6516,0.90843,0.90886,0.00043
media,8072,0.92921,0.92969,0.00048
media,10000,0.95000,0.95075,0.00075
alta,1,0.00478,0.00481,0.00002
alta,2,0.00817,0.00807,-0.00009
alta,3,0.01093,0.01093,-0.00000
alta,4,0.01332,0.01343,0.00010
alta,6,0.01742,0.01734,-0.00007
alta,7,0.01922,0.01906,-0.00016
alta,9,0.02251,0.02244,-0.00007
alta,11,0.02547,0.02531,-0.00016
alta,13,0.02818,0.02801,-0.00017
alta,16,0.03189,0.03182,-0.00007
alta,20,0.03634,0.03631,-0.00003
alta,25,0.04134,0.04128,-0.00006
alta,31,0.04672,0.04663,-0.00009
alta,38,0.05239,0.05224,-0.00015
alta,47,0.05897,0.05888,-0.00008
alta,59,0.06683,0.06690,0.00007
alta,73,0.07506,0.07526,0.00020
alta,90,0.08405,0.08416,0.00011
alta,111,0.09406,0.09423,0.00016
alta,138,0.10563,0.10600,0.00037
alta,171,0.11833,0.11897,0.00064
alta,212,0.13251,0.13307,0.00056
alta,262,0.14806,0.14873,0.00068
alta,325,0.16566,0.16623,0.00056
alta,402,0.18500,0.18545,0.00045
alta,499,0.20689,0.20729,0.00040
alta,618,0.23101,0.23175,0.00074
alta,765,0.25778,0.25867,0.00089
alta,948,0.28774,0.28859,0.00085
alta,1174,0.32097,0.32189,0.00091
alta,1455,0.35810,0.35870,0.00060
alta,1802,0.39930,0.39971,0.00041
alta,2233,0.44527,0.44552,0.00025
alta,2766,0.49635,0.49658,0.00023
alta,3427,0.55327,0.55340,0.00014
alta,4245,0.61655,0.61639,-0.00015
alta,5259,0.68703,0.68705,0.00003
alta,6516,0.76552,0.76538,-0.00014
alta,8072,0.85282,0.85273,-0.00008
alta,10000,0.95000,0.95075,0.00075
