cenario,d,P(d<x)_teorico,P(d<x)_medido
baixa,1,0.38575,0.38596
baixa,2,0.52213,0.52194
baixa,3,0.59637,0.59621
baixa,4,0.64458,0.64395
baixa,6,0.70533,0.70500
baixa,7,0.72616,0.72567
baixa,9,0.75750,0.75686
baixa,11,0.78027,0.77974
baixa,13,0.79778,0.79701
baixa,16,0.81781,0.81703
baixa,20,0.83733,0.83661
baixa,25,0.85494,0.85418
baixa,31,0.87026,0.86931
baixa,38,0.88338,0.88264
baixa,47,0.89578,0.89512
baixa,59,0.90770,0.90701
baixa,73,0.91773,0.91676
baixa,90,0.92662,0.92565
baixa,111,0.93465,0.93368
baixa,138,0.94216,0.94176
baixa,171,0.94880,0.94848
baixa,212,0.95479,0.95445
baixa,262,0.96010,0.95982
baixa,325,0.96495,0.96471
baixa,402,0.96926,0.96893
baixa,499,0.97320,0.97309
baixa,618,0.97669,0.97649
baixa,765,0.97983,0.97956
baixa,948,0.98266,0.98244
baixa,1174,0.98520,0.98492
baixa,1455,0.98749,0.98724
baixa,1802,0.98954,0.98926
baixa,2233,0.99139,0.99118
baixa,2766,0.99305,0.99284
baixa,3427,0.99454,0.99447
baixa,4245,0.99587,0.99583
baixa,5259,0.99708,0.99705
baixa,6516,0.99816,0.99818
baixa,8072,0.99913,0.99914
baixa,10000,1.00000,1.00000
media,1,0.10217,0.10234
media,2,0.15326,0.15382
media,3,0.18731,0.18780
media,4,0.21285,0.21306
media,6,0.25032,0.25101
media,7,0.26491,0.26555
media,9,0.28904,0.28990
media,11,0.30854,0.30919
media,13,0.32491,0.32553
media,16,0.34541,0.34600
media,20,0.36758,0.36805
media,25,0.38988,0.39002
media,31,0.41146,0.41159
media,38,0.43196,0.43188
media,47,0.45343,0.45343
media,59,0.47644,0.47644
media,73,0.49803,0.49810
media,90,0.51929,0.51919
media,111,0.54061,0.54033
media,138,0.56276,0.56250
media,171,0.58460,0.58441
media,212,0.60650,0.60618
media,262,0.62809,0.62744
media,325,0.65006,0.64938
media,402,0.67176,0.67123
media,499,0.69382,0.69346
media,618,0.71565,0.71518
media,765,0.73744,0.73678
media,948,0.75934,0.75871
media,1174,0.78117,0.78059
media,1455,0.80309,0.80241
media,1802,0.82494,0.82415
media,2233,0.84684,0.84611
media,2766,0.86871,0.86783
media,3427,0.89060,0.88988
media,4245,0.91246,0.91173
media,5259,0.93435,0.93333
media,6516,0.95624,0.95593
media,8072,0.97812,0.97784
media,10000,1.00000,1.00000
alta,1,0.00504,0.00506
alta,2,0.00860,0.00849
alta,3,0.01151,0.01149
alta,4,0.01402,0.01412
alta,6,0.01833,0.01824
alta,7,0.02024,0.02005
alta,9,0.02370,0.02360
alta,11,0.02681,0.02662
alta,13,0.02966,0.02946
alta,16,0.03356,0.03346
alta,20,0.03825,0.03819
alta,25,0.04351,0.04342
alta,31,0.04918,0.04904
alta,38,0.05515,0.05495
alta,47,0.06207,0.06193
alta,59,0.07035,0.07037
alta,73,0.07901,0.07915
alta,90,0.08847,0.08852
alta,111,0.09901,0.09911
alta,138,0.11119,0.11149
alta,171,0.12456,0.12514
alta,212,0.13949,0.13997
alta,262,0.15585,0.15644
alta,325,0.17438,0.17484
alta,402,0.19474,0.19506
alta,499,0.21778,0.21802
alta,618,0.24316,0.24375
alta,765,0.27135,0.27207
alta,948,0.30288,0.30354
alta,1174,0.33787,0.33856
alta,1455,0.37695,0.37728
alta,1802,0.42032,0.42041
alta,2233,0.46871,0.46860
alta,2766,0.52248,0.52230
alta,3427,0.58238,0.58207
alta,4245,0.64900,0.64832
alta,5259,0.72318,0.72264
alta,6516,0.80581,0.80502
alta,8072,0.89770,0.89690
alta,10000,1.00000,1.00000
