cenario,faixa_de,faixa_ate,reusos,fracao
baixa,0,0,183477,0.38596
baixa,1,1,64641,0.13598
baixa,2,3,58000,0.12201
baixa,4,7,46951,0.09877
baixa,8,15,35329,0.07432
baixa,16,31,25932,0.05455
baixa,32,63,18688,0.03931
baixa,64,127,13383,0.02815
baixa,128,255,9641,0.02028
baixa,256,511,6740,0.01418
baixa,512,1023,4723,0.00994
baixa,1024,2047,3301,0.00694
baixa,2048,4095,2483,0.00522
baixa,4096,8191,1709,0.00360
baixa,8192,9999,379,0.00080
media,0,0,48651,0.10234
media,1,1,24471,0.05148
media,2,3,28164,0.05925
media,4,7,31073,0.06536
media,8,15,32123,0.06757
media,16,31,32721,0.06883
media,32,63,33160,0.06976
media,64,127,33365,0.07019
media,128,255,33451,0.07037
media,256,511,33722,0.07094
media,512,1023,33649,0.07078
media,1024,2047,33449,0.07036
media,2048,4095,33674,0.07084
media,4096,8191,33882,0.07127
media,8192,9999,9822,0.02066
alta,0,0,2404,0.00506
alta,1,1,1633,0.00344
alta,2,3,2677,0.00563
alta,4,7,3693,0.00777
alta,8,15,5501,0.01157
alta,16,31,7821,0.01645
alta,32,63,11228,0.02362
alta,64,127,15961,0.03358
alta,128,255,22577,0.04749
alta,256,511,31540,0.06635
alta,512,1023,45107,0.09489
alta,1024,2047,63143,0.13283
alta,2048,4095,89348,0.18795
alta,4096,8191,126989,0.26713
alta,8192,9999,45755,0.09625
