cenario,cache_objetos,hit_teorico,hit_medido,erro,fracao_reusos_que_cabem,fracao_reusos_que_nao_cabem
baixa,1,0.36646,0.36689,0.00043,0.38600,0.61400
baixa,10,0.73121,0.73124,0.00003,0.76933,0.23067
baixa,100,0.88422,0.88430,0.00008,0.93037,0.06963
baixa,1000,0.93416,0.93450,0.00035,0.98319,0.01681
baixa,10000,0.95000,0.95048,0.00048,1.00000,0.00000
media,1,0.09706,0.09718,0.00012,0.10224,0.89776
media,10,0.28429,0.28503,0.00074,0.29988,0.70012
media,100,0.50349,0.50354,0.00005,0.52978,0.47022
media,1000,0.72655,0.72657,0.00002,0.76442,0.23558
media,10000,0.95000,0.95048,0.00048,1.00000,0.00000
alta,1,0.00478,0.00488,0.00010,0.00514,0.99486
alta,10,0.02402,0.02411,0.00008,0.02536,0.97464
alta,100,0.08895,0.08909,0.00015,0.09373,0.90627
alta,1000,0.29571,0.29639,0.00069,0.31183,0.68817
alta,10000,0.95000,0.95048,0.00048,1.00000,0.00000
