cenario,janela_requisicoes,objetos_distintos_media,fracao_da_janela
baixa,10,5.2,0.5193
baixa,30,11.1,0.3693
baixa,100,25.8,0.2583
baixa,300,57.7,0.1924
baixa,1000,139.6,0.1396
baixa,3000,321.9,0.1073
baixa,10000,838.5,0.0838
baixa,30000,2080.0,0.0693
baixa,100000,5859.2,0.0586
media,10,8.4,0.8360
media,30,21.9,0.7296
media,100,61.9,0.6189
media,300,161.0,0.5368
media,1000,435.0,0.4350
media,3000,1042.4,0.3475
media,10000,2559.5,0.2560
media,30000,5349.7,0.1783
media,100000,10299.5,0.1030
alta,10,9.9,0.9887
alta,30,29.2,0.9722
alta,100,94.3,0.9434
alta,300,270.2,0.9006
alta,1000,819.1,0.8191
alta,3000,2101.4,0.7005
alta,10000,5084.1,0.5084
alta,30000,8886.5,0.2962
alta,100000,12700.3,0.1270
