cenario,cache_objetos,hit_teorico,hit_medido,erro
baixa,1,0.36646,0.36689,0.00043
baixa,2,0.49602,0.49610,0.00007
baixa,3,0.56655,0.56675,0.00020
baixa,4,0.61235,0.61236,0.00000
baixa,6,0.67007,0.67022,0.00016
baixa,7,0.68985,0.68976,-0.00009
baixa,9,0.71962,0.71945,-0.00017
baixa,11,0.74125,0.74130,0.00004
baixa,13,0.75789,0.75766,-0.00023
baixa,16,0.77692,0.77665,-0.00027
baixa,20,0.79547,0.79529,-0.00018
baixa,25,0.81220,0.81213,-0.00007
baixa,31,0.82675,0.82672,-0.00003
baixa,38,0.83921,0.83926,0.00005
baixa,47,0.85099,0.85106,0.00007
baixa,59,0.86231,0.86244,0.00013
baixa,73,0.87184,0.87186,0.00002
baixa,90,0.88029,0.88030,0.00002
baixa,111,0.88792,0.88803,0.00011
baixa,138,0.89505,0.89543,0.00038
baixa,171,0.90136,0.90190,0.00053
baixa,212,0.90705,0.90756,0.00051
baixa,262,0.91209,0.91266,0.00056
baixa,325,0.91671,0.91721,0.00051
baixa,402,0.92080,0.92122,0.00042
baixa,499,0.92454,0.92504,0.00050
baixa,618,0.92786,0.92820,0.00034
baixa,765,0.93084,0.93114,0.00030
baixa,948,0.93353,0.93385,0.00032
baixa,1174,0.93594,0.93631,0.00037
baixa,1455,0.93812,0.93849,0.00037
baixa,1802,0.94007,0.94044,0.00037
baixa,2233,0.94182,0.94221,0.00039
baixa,2766,0.94339,0.94381,0.00041
baixa,3427,0.94481,0.94526,0.00045
baixa,4245,0.94608,0.94654,0.00046
baixa,5259,0.94722,0.94772,0.00049
baixa,6516,0.94825,0.94883,0.00058
baixa,8072,0.94917,0.94972,0.00055
baixa,10000,0.95000,0.95048,0.00048
media,1,0.09706,0.09718,0.00012
media,2,0.14559,0.14625,0.00066
media,3,0.17795,0.17861,0.00066
media,4,0.20221,0.20271,0.00050
media,6,0.23780,0.23850,0.00070
media,7,0.25167,0.25221,0.00054
media,9,0.27458,0.27524,0.00066
media,11,0.29311,0.29379,0.00068
media,13,0.30867,0.30941,0.00074
media,16,0.32814,0.32887,0.00073
media,20,0.34920,0.34974,0.00053
media,25,0.37038,0.37078,0.00040
media,31,0.39089,0.39136,0.00046
media,38,0.41037,0.41070,0.00034
media,47,0.43076,0.43100,0.00024
media,59,0.45262,0.45280,0.00018
media,73,0.47313,0.47335,0.00022
media,90,0.49332,0.49347,0.00014
media,111,0.51358,0.51359,0.00002
media,138,0.53462,0.53472,0.00010
media,171,0.55537,0.55568,0.00032
media,212,0.57617,0.57626,0.00009
media,262,0.59668,0.59651,-0.00017
media,325,0.61756,0.61753,-0.00003
media,402,0.63817,0.63816,-0.00001
media,499,0.65913,0.65925,0.00012
media,618,0.67987,0.67991,0.00004
media,765,0.70057,0.70033,-0.00024
media,948,0.72137,0.72125,-0.00012
media,1174,0.74211,0.74212,0.00001
media,1455,0.76293,0.76281,-0.00012
media,1802,0.78369,0.78342,-0.00027
media,2233,0.80450,0.80434,-0.00016
media,2766,0.82527,0.82526,-0.00001
media,3427,0.84607,0.84614,0.00007
media,4245,0.86684,0.86691,0.00007
media,5259,0.88763,0.88770,0.00008
media,6516,0.90843,0.90895,0.00052
media,8072,0.92921,0.92951,0.00030
media,10000,0.95000,0.95048,0.00048
alta,1,0.00478,0.00488,0.00010
alta,2,0.00817,0.00824,0.00008
alta,3,0.01093,0.01109,0.00016
alta,4,0.01332,0.01353,0.00020
alta,6,0.01742,0.01750,0.00008
alta,7,0.01922,0.01924,0.00002
alta,9,0.02251,0.02259,0.00008
alta,11,0.02547,0.02550,0.00003
alta,13,0.02818,0.02816,-0.00002
alta,16,0.03189,0.03196,0.00007
alta,20,0.03634,0.03643,0.00009
alta,25,0.04134,0.04145,0.00011
alta,31,0.04672,0.04674,0.00002
alta,38,0.05239,0.05241,0.00002
alta,47,0.05897,0.05912,0.00015
alta,59,0.06683,0.06707,0.00024
alta,73,0.07506,0.07520,0.00014
alta,90,0.08405,0.08415,0.00010
alta,111,0.09406,0.09415,0.00009
alta,138,0.10563,0.10581,0.00018
alta,171,0.11833,0.11872,0.00038
alta,212,0.13251,0.13305,0.00054
alta,262,0.14806,0.14876,0.00070
alta,325,0.16566,0.16634,0.00068
alta,402,0.18500,0.18559,0.00058
alta,499,0.20689,0.20747,0.00058
alta,618,0.23101,0.23166,0.00066
alta,765,0.25778,0.25830,0.00052
alta,948,0.28774,0.28843,0.00069
alta,1174,0.32097,0.32172,0.00075
alta,1455,0.35810,0.35864,0.00053
alta,1802,0.39930,0.39977,0.00047
alta,2233,0.44527,0.44542,0.00014
alta,2766,0.49635,0.49643,0.00008
alta,3427,0.55327,0.55346,0.00020
alta,4245,0.61655,0.61651,-0.00003
alta,5259,0.68703,0.68690,-0.00012
alta,6516,0.76552,0.76530,-0.00022
alta,8072,0.85282,0.85292,0.00011
alta,10000,0.95000,0.95048,0.00048
