cenario,d,P(d<x)_teorico,P(d<x)_medido
baixa,1,0.38575,0.38600
baixa,2,0.52213,0.52194
baixa,3,0.59637,0.59627
baixa,4,0.64458,0.64426
baixa,6,0.70533,0.70514
baixa,7,0.72616,0.72570
baixa,9,0.75750,0.75694
baixa,11,0.78027,0.77992
baixa,13,0.79778,0.79713
baixa,16,0.81781,0.81711
baixa,20,0.83733,0.83672
baixa,25,0.85494,0.85444
baixa,31,0.87026,0.86979
baixa,38,0.88338,0.88298
baixa,47,0.89578,0.89540
baixa,59,0.90770,0.90737
baixa,73,0.91773,0.91728
baixa,90,0.92662,0.92616
baixa,111,0.93465,0.93429
baixa,138,0.94216,0.94207
baixa,171,0.94880,0.94888
baixa,212,0.95479,0.95484
baixa,262,0.96010,0.96020
baixa,325,0.96495,0.96499
baixa,402,0.96926,0.96921
baixa,499,0.97320,0.97323
baixa,618,0.97669,0.97655
baixa,765,0.97983,0.97965
baixa,948,0.98266,0.98250
baixa,1174,0.98520,0.98509
baixa,1455,0.98749,0.98738
baixa,1802,0.98954,0.98943
baixa,2233,0.99139,0.99129
baixa,2766,0.99305,0.99298
baixa,3427,0.99454,0.99451
baixa,4245,0.99587,0.99585
baixa,5259,0.99708,0.99709
baixa,6516,0.99816,0.99826
baixa,8072,0.99913,0.99919
baixa,10000,1.00000,1.00000
media,1,0.10217,0.10224
media,2,0.15326,0.15387
media,3,0.18731,0.18791
media,4,0.21285,0.21327
media,6,0.25032,0.25092
media,7,0.26491,0.26535
media,9,0.28904,0.28958
media,11,0.30854,0.30910
media,13,0.32491,0.32553
media,16,0.34541,0.34600
media,20,0.36758,0.36796
media,25,0.38988,0.39009
media,31,0.41146,0.41174
media,38,0.43196,0.43210
media,47,0.45343,0.45345
media,59,0.47644,0.47639
media,73,0.49803,0.49801
media,90,0.51929,0.51917
media,111,0.54061,0.54035
media,138,0.56276,0.56258
media,171,0.58460,0.58463
media,212,0.60650,0.60628
media,262,0.62809,0.62759
media,325,0.65006,0.64970
media,402,0.67176,0.67141
media,499,0.69382,0.69359
media,618,0.71565,0.71533
media,765,0.73744,0.73681
media,948,0.75934,0.75882
media,1174,0.78117,0.78079
media,1455,0.80309,0.80255
media,1802,0.82494,0.82423
media,2233,0.84684,0.84624
media,2766,0.86871,0.86826
media,3427,0.89060,0.89022
media,4245,0.91246,0.91207
media,5259,0.93435,0.93395
media,6516,0.95624,0.95630
media,8072,0.97812,0.97794
media,10000,1.00000,1.00000
alta,1,0.00504,0.00514
alta,2,0.00860,0.00867
alta,3,0.01151,0.01167
alta,4,0.01402,0.01423
alta,6,0.01833,0.01841
alta,7,0.02024,0.02025
alta,9,0.02370,0.02377
alta,11,0.02681,0.02682
alta,13,0.02966,0.02962
alta,16,0.03356,0.03362
alta,20,0.03825,0.03833
alta,25,0.04351,0.04361
alta,31,0.04918,0.04918
alta,38,0.05515,0.05514
alta,47,0.06207,0.06220
alta,59,0.07035,0.07056
alta,73,0.07901,0.07911
alta,90,0.08847,0.08854
alta,111,0.09901,0.09906
alta,138,0.11119,0.11132
alta,171,0.12456,0.12490
alta,212,0.13949,0.13998
alta,262,0.15585,0.15651
alta,325,0.17438,0.17501
alta,402,0.19474,0.19526
alta,499,0.21778,0.21827
alta,618,0.24316,0.24373
alta,765,0.27135,0.27176
alta,948,0.30288,0.30345
alta,1174,0.33787,0.33848
alta,1455,0.37695,0.37732
alta,1802,0.42032,0.42060
alta,2233,0.46871,0.46862
alta,2766,0.52248,0.52229
alta,3427,0.58238,0.58229
alta,4245,0.64900,0.64863
alta,5259,0.72318,0.72269
alta,6516,0.80581,0.80517
alta,8072,0.89770,0.89736
alta,10000,1.00000,1.00000
