cenario,faixa_de,faixa_ate,reusos,fracao
baixa,0,0,366886,0.38600
baixa,1,1,129210,0.13594
baixa,2,3,116262,0.12232
baixa,4,7,93492,0.09836
baixa,8,15,70796,0.07448
baixa,16,31,52104,0.05482
baixa,32,63,37413,0.03936
baixa,64,127,26858,0.02826
baixa,128,255,19135,0.02013
baixa,256,511,13260,0.01395
baixa,512,1023,9377,0.00987
baixa,1024,2047,6698,0.00705
baixa,2048,4095,4858,0.00511
baixa,4096,8191,3423,0.00360
baixa,8192,9999,712,0.00075
media,0,0,97179,0.10224
media,1,1,49073,0.05163
media,2,3,56460,0.05940
media,4,7,61713,0.06493
media,8,15,64443,0.06780
media,16,31,65571,0.06899
media,32,63,66197,0.06965
media,64,127,66749,0.07023
media,128,255,66953,0.07044
media,256,511,67427,0.07094
media,512,1023,67143,0.07064
media,1024,2047,67005,0.07050
media,2048,4095,67591,0.07111
media,4096,8191,67428,0.07094
media,8192,9999,19552,0.02057
alta,0,0,4883,0.00514
alta,1,1,3361,0.00354
alta,2,3,5281,0.00556
alta,4,7,7450,0.00784
alta,8,15,10982,0.01155
alta,16,31,15634,0.01645
alta,32,63,22465,0.02364
alta,64,127,31690,0.03334
alta,128,255,45199,0.04755
alta,256,511,63265,0.06656
alta,512,1023,89828,0.09451
alta,1024,2047,126372,0.13296
alta,2048,4095,178949,0.18827
alta,4096,8191,254026,0.26726
alta,8192,9999,91099,0.09584
